[2018-12-01 05:32:57] erhan.ERROR: ошибка: Invalid type: sw_images, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\libs\rb-mysql.php, строка: 13900 [] []
[2018-12-01 05:41:48] erhan.ERROR: ошибка: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'hmdoll.articles' doesn't exist, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\libs\rb-mysql.php, строка: 768 [] []
[2018-12-01 05:48:37] erhan.ERROR: ошибка: Invalid argument supplied for foreach(), файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\libs\rb-mysql.php, строка: 698 [] []
[2018-12-01 05:49:44] erhan.ERROR: ошибка: Undefined variable: images, файл: D:\WebWorksPHP\hmdoll.ru\app\models\Slavko.php, строка: 61 [] []
[2018-12-01 05:51:33] erhan.ERROR: ошибка: Invalid argument supplied for foreach(), файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\libs\rb-mysql.php, строка: 698 [] []
[2018-12-01 05:52:49] erhan.ERROR: ошибка: Invalid argument supplied for foreach(), файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\libs\rb-mysql.php, строка: 698 [] []
[2018-12-01 05:53:38] erhan.ERROR: ошибка: Invalid argument supplied for foreach(), файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\libs\rb-mysql.php, строка: 698 [] []
[2018-12-01 05:53:41] erhan.ERROR: ошибка: Invalid argument supplied for foreach(), файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\libs\rb-mysql.php, строка: 698 [] []
[2018-12-01 13:39:17] erhan.ERROR: ошибка: Illegal offset type, файл: D:\WebWorksPHP\hmdoll.ru\app\models\Slavko.php, строка: 43 [] []
[2018-12-01 13:43:41] erhan.ERROR: ошибка: Illegal offset type, файл: D:\WebWorksPHP\hmdoll.ru\app\models\Slavko.php, строка: 44 [] []
[2018-12-01 13:47:42] erhan.ERROR: ошибка: Illegal offset type, файл: D:\WebWorksPHP\hmdoll.ru\app\models\Slavko.php, строка: 43 [] []
[2018-12-01 13:48:47] erhan.ERROR: ошибка: Illegal offset type, файл: D:\WebWorksPHP\hmdoll.ru\app\models\Slavko.php, строка: 43 [] []
[2018-12-01 14:43:40] erhan.ERROR: ошибка: Illegal string offset 'id', файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\edit_item.php, строка: 18 [] []
[2018-12-01 14:46:31] erhan.ERROR: ошибка: Undefined index: articul, файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\edit_item.php, строка: 18 [] []
[2018-12-01 14:46:34] erhan.ERROR: ошибка: Undefined index: articul, файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\edit_item.php, строка: 18 [] []
[2018-12-01 14:48:03] erhan.ERROR: ошибка: Undefined index: , файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\edit_item.php, строка: 18 [] []
[2018-12-01 14:48:55] erhan.ERROR: ошибка: Undefined index: , файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\edit_item.php, строка: 20 [] []
[2018-12-01 14:50:02] erhan.ERROR: ошибка: Undefined index: , файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\edit_item.php, строка: 20 [] []
[2018-12-01 14:50:57] erhan.ERROR: ошибка: Undefined index: , файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\edit_item.php, строка: 19 [] []
[2018-12-01 14:52:17] erhan.ERROR: ошибка: Undefined index: , файл: D:\WebWorksPHP\hmdoll.ru\app\views\Slavko\edit_item.php, строка: 19 [] []
